Date,Time,Hydraulic Pressure (psi),Hydraulic Load (lbs),Cell Load (lbs)
03/15/2024,00:04:04,3750.88,25864.73,25806.79
03/15/2024,00:04:05,3573.88,27294.87,25240.52
03/15/2024,00:04:06,3729.41,26097.55,27733.21
03/15/2024,00:04:07,3149.57,27031.93,27906.45
03/15/2024,00:04:08,3187.57,25857.79,25650.71
03/15/2024,00:04:09,3463.51,26567.05,27023.61
03/15/2024,00:04:11,3169.68,27504.15,27043.83
03/15/2024,00:04:12,3325.13,26979.4,27417.63
03/15/2024,00:04:13,3332.93,26638.72,26264.44
03/15/2024,00:04:14,3288.13,26740.6,25258.47
03/15/2024,00:04:15,3459.62,26675.01,25002.22
03/15/2024,00:04:16,3295.22,27566.45,27805.67
03/15/2024,00:04:17,3292.44,27893.23,26943.83
03/15/2024,00:04:18,3387.29,25938.79,25916.38
03/15/2024,00:04:19,3249.25,27397.38,27486.18
03/15/2024,00:04:20,3018.67,25300.75,27528.18
03/15/2024,00:04:21,3913.32,25664.87,25795.75
03/15/2024,00:04:22,3874.35,26406.24,26109.39
03/15/2024,00:04:23,3814.0,25180.19,27900.64
03/15/2024,00:04:24,3390.17,25950.44,25001.45
03/15/2024,00:04:25,3284.98,27831.11,27328.67
