Date,Time,Main Chamber O2 (ppm),Airlock O2 (ppm)
03/15/2024,00:30:30,127.63,84.18
03/15/2024,00:30:31,112.16,81.44
03/15/2024,00:30:32,137.87,73.13
03/15/2024,00:30:33,111.86,82.92
03/15/2024,00:30:34,143.1,70.92
03/15/2024,00:30:35,124.29,87.52
03/15/2024,00:30:36,118.39,75.09
03/15/2024,00:30:37,128.6,89.9
03/15/2024,00:30:38,102.88,76.93
03/15/2024,00:30:39,131.06,81.99
03/15/2024,00:30:40,124.13,73.78
03/15/2024,00:30:41,143.98,89.58
03/15/2024,00:30:42,118.5,83.16
03/15/2024,00:30:43,104.31,84.88
03/15/2024,00:30:44,107.58,77.1
03/15/2024,00:30:45,109.42,81.86
03/15/2024,00:30:46,109.98,79.99
03/15/2024,00:30:47,141.13,75.53
03/15/2024,00:30:48,119.75,71.97
03/15/2024,00:30:49,108.66,72.45
03/15/2024,00:30:50,130.94,76.31
03/15/2024,00:30:51,146.79,89.48
03/15/2024,00:30:52,139.15,78.51
03/15/2024,00:30:53,139.79,80.59
03/15/2024,00:30:54,126.53,82.28
03/15/2024,00:30:55,144.55,77.36
03/15/2024,00:30:56,129.44,80.8
03/15/2024,00:30:57,112.9,70.29
03/15/2024,00:30:58,107.14,73.73
03/15/2024,00:30:59,138.97,71.35
03/15/2024,00:31:00,133.09,83.51
03/15/2024,00:31:01,126.28,71.29
03/15/2024,00:31:02,140.5,77.05
03/15/2024,00:31:03,134.64,74.21
03/15/2024,00:31:04,141.61,80.38
03/15/2024,00:31:05,100.86,82.89
03/15/2024,00:31:06,129.32,84.57
03/15/2024,00:31:07,122.7,85.06
03/15/2024,00:31:08,118.13,74.5
03/15/2024,00:31:09,124.29,90.0
03/15/2024,00:31:10,121.39,85.01
03/15/2024,00:31:11,143.0,82.59
03/15/2024,00:31:12,132.1,81.14
03/15/2024,00:31:13,145.87,87.15
03/15/2024,00:31:14,110.1,74.48
03/15/2024,00:31:15,129.7,80.45
03/15/2024,00:31:16,123.78,77.86
03/15/2024,00:31:17,125.77,85.36
03/15/2024,00:31:18,147.52,70.05
03/15/2024,00:31:19,143.7,78.29
03/15/2024,00:31:20,131.11,89.39
03/15/2024,00:31:21,131.21,74.63
03/15/2024,00:31:22,100.66,78.9
03/15/2024,00:31:23,126.64,78.43
03/15/2024,00:31:24,129.53,73.69
03/15/2024,00:31:25,139.89,74.86
03/15/2024,00:31:26,149.69,72.36
03/15/2024,00:31:27,122.29,81.51
03/15/2024,00:31:28,118.02,80.27
03/15/2024,00:31:29,114.01,86.9
03/15/2024,00:31:30,119.96,77.0
03/15/2024,00:31:31,148.67,82.95
03/15/2024,00:31:32,117.72,82.57
03/15/2024,00:31:33,115.14,86.03
03/15/2024,00:31:34,115.62,83.49
03/15/2024,00:31:35,147.77,76.44
03/15/2024,00:31:36,108.04,86.58
03/15/2024,00:31:37,101.7,77.72
03/15/2024,00:31:38,137.89,75.22
03/15/2024,00:31:39,138.68,73.4
03/15/2024,00:31:40,122.63,72.16
